"Territory","Population Value (Sum)","Victims Value","Stereotypes about gender roles","Degree of agreement","Stereotypes values"
"Veneto",3524197,632,"serious women don’t get raped","strongly disagree",77.7
"Veneto",3524197,632,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly disagree",86.7
"Veneto",3524197,632,"faced with a sexual proposal,women often say no but in reality mean yes","strongly disagree",68.7
"Veneto",3524197,632,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly disagree",65.3
"Veneto",3524197,632,"often accusations of sexual violence are false","strongly disagree",49
"Friuli-Venezia Giulia",866762,132,"women can provoke sexual violence by how they dress","strongly agree",2.8
"Friuli-Venezia Giulia",866762,132,"women who don’t want to have a sexual intercourse are able to avoid it","strongly agree",13.2
"Friuli-Venezia Giulia",866762,132,"serious women don’t get raped","strongly agree",1.3
"Friuli-Venezia Giulia",866762,132,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly agree",0.8
"Friuli-Venezia Giulia",866762,132,"faced with a sexual proposal,women often say no but in reality mean yes","strongly agree",1.6
"Friuli-Venezia Giulia",866762,132,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly agree",3.2
"Friuli-Venezia Giulia",866762,132,"often accusations of sexual violence are false","strongly agree",1.7
"Friuli-Venezia Giulia",866762,132,"women can provoke sexual violence by how they dress","somewhat agree",20.8
"Friuli-Venezia Giulia",866762,132,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat agree",28.5
"Friuli-Venezia Giulia",866762,132,"serious women don’t get raped","somewhat agree",4.1
"Friuli-Venezia Giulia",866762,132,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat agree",1.2
"Friuli-Venezia Giulia",866762,132,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat agree",3.6
"Friuli-Venezia Giulia",866762,132,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat agree",12.2
"Friuli-Venezia Giulia",866762,132,"often accusations of sexual violence are false","somewhat agree",11.8
"Friuli-Venezia Giulia",866762,132,"women can provoke sexual violence by how they dress","somewhat disagree",27.5
"Friuli-Venezia Giulia",866762,132,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat disagree",26.3
"Friuli-Venezia Giulia",866762,132,"serious women don’t get raped","somewhat disagree",11.6
"Friuli-Venezia Giulia",866762,132,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat disagree",6.3
"Friuli-Venezia Giulia",866762,132,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat disagree",18
"Friuli-Venezia Giulia",866762,132,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat disagree",18
"Friuli-Venezia Giulia",866762,132,"often accusations of sexual violence are false","somewhat disagree",31.3
"Friuli-Venezia Giulia",866762,132,"women can provoke sexual violence by how they dress","strongly disagree",46.9
"Friuli-Venezia Giulia",866762,132,"women who don’t want to have a sexual intercourse are able to avoid it","strongly disagree",26.5
"Friuli-Venezia Giulia",866762,132,"serious women don’t get raped","strongly disagree",78.5
"Friuli-Venezia Giulia",866762,132,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly disagree",88.1
"Friuli-Venezia Giulia",866762,132,"faced with a sexual proposal,women often say no but in reality mean yes","strongly disagree",69.6
"Friuli-Venezia Giulia",866762,132,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly disagree",62.7
"Friuli-Venezia Giulia",866762,132,"often accusations of sexual violence are false","strongly disagree",47.5
"Emilia-Romagna",3184882,522,"women can provoke sexual violence by how they dress","strongly agree",5.6
"Emilia-Romagna",3184882,522,"women who don’t want to have a sexual intercourse are able to avoid it","strongly agree",12.6
"Emilia-Romagna",3184882,522,"serious women don’t get raped","strongly agree",1.4
"Emilia-Romagna",3184882,522,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly agree",0.3
"Emilia-Romagna",3184882,522,"faced with a sexual proposal,women often say no but in reality mean yes","strongly agree",1.2
"Emilia-Romagna",3184882,522,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly agree",2.1
"Emilia-Romagna",3184882,522,"often accusations of sexual violence are false","strongly agree",0.5
"Emilia-Romagna",3184882,522,"women can provoke sexual violence by how they dress","somewhat agree",14.7
"Emilia-Romagna",3184882,522,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat agree",24.2
"Emilia-Romagna",3184882,522,"serious women don’t get raped","somewhat agree",3.4
"Emilia-Romagna",3184882,522,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat agree",0.5
"Emilia-Romagna",3184882,522,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat agree",5.1
"Emilia-Romagna",3184882,522,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat agree",10.9
"Emilia-Romagna",3184882,522,"often accusations of sexual violence are false","somewhat agree",7.3
"Emilia-Romagna",3184882,522,"women can provoke sexual violence by how they dress","somewhat disagree",22
"Emilia-Romagna",3184882,522,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat disagree",23.5
"Emilia-Romagna",3184882,522,"serious women don’t get raped","somewhat disagree",9.6
"Emilia-Romagna",3184882,522,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat disagree",4.7
"Emilia-Romagna",3184882,522,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat disagree",11.1
"Emilia-Romagna",3184882,522,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat disagree",13.6
"Emilia-Romagna",3184882,522,"often accusations of sexual violence are false","somewhat disagree",30.5
"Emilia-Romagna",3184882,522,"women can provoke sexual violence by how they dress","strongly disagree",54.5
"Emilia-Romagna",3184882,522,"women who don’t want to have a sexual intercourse are able to avoid it","strongly disagree",34.4
"Emilia-Romagna",3184882,522,"serious women don’t get raped","strongly disagree",82.1
"Emilia-Romagna",3184882,522,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly disagree",91.2
"Emilia-Romagna",3184882,522,"faced with a sexual proposal,women often say no but in reality mean yes","strongly disagree",73.2
"Emilia-Romagna",3184882,522,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly disagree",68.4
"Emilia-Romagna",3184882,522,"often accusations of sexual violence are false","strongly disagree",52.6
"Toscana",2647204,573,"women can provoke sexual violence by how they dress","strongly agree",4.4
"Toscana",2647204,573,"women who don’t want to have a sexual intercourse are able to avoid it","strongly agree",11
"Toscana",2647204,573,"serious women don’t get raped","strongly agree",1.1
"Toscana",2647204,573,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly agree",0.4
"Toscana",2647204,573,"faced with a sexual proposal,women often say no but in reality mean yes","strongly agree",0.6
"Toscana",2647204,573,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly agree",2.5
"Toscana",2647204,573,"often accusations of sexual violence are false","strongly agree",1.1
"Toscana",2647204,573,"women can provoke sexual violence by how they dress","somewhat agree",13.9
"Toscana",2647204,573,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat agree",24.6
"Toscana",2647204,573,"serious women don’t get raped","somewhat agree",3.2
"Toscana",2647204,573,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat agree",0.8
"Toscana",2647204,573,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat agree",5.6
"Toscana",2647204,573,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat agree",9.6
"Toscana",2647204,573,"often accusations of sexual violence are false","somewhat agree",6.4
"Toscana",2647204,573,"women can provoke sexual violence by how they dress","somewhat disagree",17.1
"Toscana",2647204,573,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat disagree",24.1
"Toscana",2647204,573,"serious women don’t get raped","somewhat disagree",7.1
"Toscana",2647204,573,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat disagree",1.9
"Toscana",2647204,573,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat disagree",12.9
"Toscana",2647204,573,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat disagree",12.8
"Toscana",2647204,573,"often accusations of sexual violence are false","somewhat disagree",33.1
"Toscana",2647204,573,"women can provoke sexual violence by how they dress","strongly disagree",60
"Toscana",2647204,573,"women who don’t want to have a sexual intercourse are able to avoid it","strongly disagree",33
"Toscana",2647204,573,"serious women don’t get raped","strongly disagree",83.3
"Toscana",2647204,573,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly disagree",91.8
"Toscana",2647204,573,"faced with a sexual proposal,women often say no but in reality mean yes","strongly disagree",71.9
"Toscana",2647204,573,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly disagree",68.6
"Toscana",2647204,573,"often accusations of sexual violence are false","strongly disagree",49.3
"Umbria",621779,118,"women can provoke sexual violence by how they dress","strongly agree",4.7
"Umbria",621779,118,"women who don’t want to have a sexual intercourse are able to avoid it","strongly agree",14.3
"Umbria",621779,118,"serious women don’t get raped","strongly agree",3.5
"Umbria",621779,118,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly agree",0.6
"Umbria",621779,118,"faced with a sexual proposal,women often say no but in reality mean yes","strongly agree",2
"Umbria",621779,118,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly agree",2.7
"Umbria",621779,118,"often accusations of sexual violence are false","strongly agree",1.3
"Umbria",621779,118,"women can provoke sexual violence by how they dress","somewhat agree",17
"Umbria",621779,118,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat agree",30
"Umbria",621779,118,"serious women don’t get raped","somewhat agree",5.3
"Umbria",621779,118,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat agree",0.7
"Umbria",621779,118,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat agree",5.9
"Umbria",621779,118,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat agree",10.1
"Umbria",621779,118,"often accusations of sexual violence are false","somewhat agree",11.6
"Umbria",621779,118,"women can provoke sexual violence by how they dress","somewhat disagree",19.1
"Umbria",621779,118,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat disagree",25.6
"Umbria",621779,118,"serious women don’t get raped","somewhat disagree",9.2
"Umbria",621779,118,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat disagree",4.9
"Umbria",621779,118,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat disagree",10.6
"Umbria",621779,118,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat disagree",8.2
"Umbria",621779,118,"often accusations of sexual violence are false","somewhat disagree",33.7
"Umbria",621779,118,"women can provoke sexual violence by how they dress","strongly disagree",55.2
