"ITTER107","Territory","TIPO_DATO_VIOLENZA","Data type","SEXISTAT1","Gender","MOTIVOPS1","Possible causes","TIME","Select time","Value","Flag Codes","Flags"
"ITC1","Piemonte","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","NEFESUP","need to feel superior than one’s partner/wife","2018","2018",81.2,,
"ITC1","Piemonte","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","NEFESUP","need to feel superior than one’s partner/wife","2018","2018",75,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","DIFMAN","difficulty in managing anger","2018","2018",67.3,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","DIFMAN","difficulty in managing anger","2018","2018",78,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","DIFMAN","difficulty in managing anger","2018","2018",72.7,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","CONWPR","considering women to be property","2018","2018",67.7,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","CONWPR","considering women to be property","2018","2018",84.5,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","CONWPR","considering women to be property","2018","2018",76.1,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","NEGEXF","having negative experiences of family violence as a child","2018","2018",57,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","NEGEXF","having negative experiences of family violence as a child","2018","2018",71.5,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","NEGEXF","having negative experiences of family violence as a child","2018","2018",64.3,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","RELREA","religious reasons","2018","2018",35.6,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","RELREA","religious reasons","2018","2018",36,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","RELREA","religious reasons","2018","2018",35.8,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","NOSTWEM","not standing women’s empowerment","2018","2018",49.8,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","NOSTWEM","not standing women’s empowerment","2018","2018",63.4,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","NOSTWEM","not standing women’s empowerment","2018","2018",56.7,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","ABDRALC","abuse of drugs or alcohol","2018","2018",72.6,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","ABDRALC","abuse of drugs or alcohol","2018","2018",77.9,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","ABDRALC","abuse of drugs or alcohol","2018","2018",75.3,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","NEFESUP","need to feel superior than one’s partner/wife","2018","2018",68.3,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","NEFESUP","need to feel superior than one’s partner/wife","2018","2018",80.2,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","NEFESUP","need to feel superior than one’s partner/wife","2018","2018",74.3,,
"ITC3","Liguria","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","DIFMAN","difficulty in managing anger","2018","2018",65.3,,
"ITC3","Liguria","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","DIFMAN","difficulty in managing anger","2018","2018",74.9,,
"ITC3","Liguria","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","DIFMAN","difficulty in managing anger","2018","2018",70.2,,
"ITC3","Liguria","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","CONWPR","considering women to be property","2018","2018",67.2,,
"ITC3","Liguria","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","CONWPR","considering women to be property","2018","2018",84.8,,
"ITC3","Liguria","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","CONWPR","considering women to be property","2018","2018",76.1,,
"ITC3","Liguria","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","NEGEXF","having negative experiences of family violence as a child","2018","2018",55.6,,
"ITC3","Liguria","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","NEGEXF","having negative experiences of family violence as a child","2018","2018",67.7,,
"ITC3","Liguria","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","NEGEXF","having negative experiences of family violence as a child","2018","2018",61.8,,
"ITC3","Liguria","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","RELREA","religious reasons","2018","2018",35.1,,
"ITC3","Liguria","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","RELREA","religious reasons","2018","2018",44.3,,
"ITC3","Liguria","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","RELREA","religious reasons","2018","2018",39.8,,
"ITC3","Liguria","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","NOSTWEM","not standing women’s empowerment","2018","2018",52.5,,
"ITC3","Liguria","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","NOSTWEM","not standing women’s empowerment","2018","2018",72.3,,
"ITC3","Liguria","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","NOSTWEM","not standing women’s empowerment","2018","2018",62.6,,
"ITC3","Liguria","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","ABDRALC","abuse of drugs or alcohol","2018","2018",66.9,,
"ITC3","Liguria","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","ABDRALC","abuse of drugs or alcohol","2018","2018",77.9,,
"ITC3","Liguria","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","ABDRALC","abuse of drugs or alcohol","2018","2018",72.5,,
"ITC3","Liguria","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","NEFESUP","need to feel superior than one’s partner/wife","2018","2018",58.9,,
"ITC3","Liguria","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","NEFESUP","need to feel superior than one’s partner/wife","2018","2018",79,,
"ITC3","Liguria","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","NEFESUP","need to feel superior than one’s partner/wife","2018","2018",69.2,,
"ITC4","Lombardia","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","DIFMAN","difficulty in managing anger","2018","2018",66.1,,
"ITC4","Lombardia","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","DIFMAN","difficulty in managing anger","2018","2018",76.3,,
"ITC4","Lombardia","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","DIFMAN","difficulty in managing anger","2018","2018",71.2,,
"ITC4","Lombardia","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","CONWPR","considering women to be property","2018","2018",74.2,,
"ITC4","Lombardia","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","CONWPR","considering women to be property","2018","2018",86.1,,
"ITC4","Lombardia","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","CONWPR","considering women to be property","2018","2018",80.2,,
"ITC4","Lombardia","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","NEGEXF","having negative experiences of family violence as a child","2018","2018",61.4,,
"ITC4","Lombardia","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","NEGEXF","having negative experiences of family violence as a child","2018","2018",63.5,,
"ITC4","Lombardia","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","NEGEXF","having negative experiences of family violence as a child","2018","2018",62.4,,
"ITC4","Lombardia","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","RELREA","religious reasons","2018","2018",38.3,,
"ITC4","Lombardia","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","RELREA","religious reasons","2018","2018",36.8,,
"ITC4","Lombardia","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","RELREA","religious reasons","2018","2018",37.6,,
"ITC4","Lombardia","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","NOSTWEM","not standing women’s empowerment","2018","2018",54.1,,
"ITC4","Lombardia","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","NOSTWEM","not standing women’s empowerment","2018","2018",68.8,,
"ITC4","Lombardia","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","NOSTWEM","not standing women’s empowerment","2018","2018",61.5,,
"ITC4","Lombardia","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","ABDRALC","abuse of drugs or alcohol","2018","2018",80,,
"ITC4","Lombardia","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","ABDRALC","abuse of drugs or alcohol","2018","2018",77.9,,
"ITC4","Lombardia","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","ABDRALC","abuse of drugs or alcohol","2018","2018",78.9,,
"ITC4","Lombardia","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","NEFESUP","need to feel superior than one’s partner/wife","2018","2018",73.4,,
"ITC4","Lombardia","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","NEFESUP","need to feel superior than one’s partner/wife","2018","2018",83.1,,
"ITC4","Lombardia","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","NEFESUP","need to feel superior than one’s partner/wife","2018","2018",78.3,,
"ITD","Nord-est","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","DIFMAN","difficulty in managing anger","2018","2018",64.7,,
"ITD","Nord-est","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","DIFMAN","difficulty in managing anger","2018","2018",74.9,,
"ITD","Nord-est","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","DIFMAN","difficulty in managing anger","2018","2018",69.8,,
"ITD","Nord-est","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","CONWPR","considering women to be property","2018","2018",70.3,,
"ITD","Nord-est","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","CONWPR","considering women to be property","2018","2018",86.3,,
"ITD","Nord-est","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","CONWPR","considering women to be property","2018","2018",78.4,,
"ITD","Nord-est","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","NEGEXF","having negative experiences of family violence as a child","2018","2018",60.7,,
"ITD","Nord-est","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","NEGEXF","having negative experiences of family violence as a child","2018","2018",69.7,,
"ITD","Nord-est","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","NEGEXF","having negative experiences of family violence as a child","2018","2018",65.3,,
"ITD","Nord-est","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","RELREA","religious reasons","2018","2018",40,,
"ITD","Nord-est","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","RELREA","religious reasons","2018","2018",38.7,,
"ITD","Nord-est","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","RELREA","religious reasons","2018","2018",39.3,,
"ITD","Nord-est","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","NOSTWEM","not standing women’s empowerment","2018","2018",56.1,,
"ITD","Nord-est","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","NOSTWEM","not standing women’s empowerment","2018","2018",70.1,,
"ITD","Nord-est","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","NOSTWEM","not standing women’s empowerment","2018","2018",63.2,,
